timestamp,tx,ty,tz,speed_m_s,inliers,imu_fused
1520530308249448626,0.001245,0.002008,-0.000122,0.0473,463,1
1520530308299450626,-0.000991,0.003738,0.000044,0.0774,479,1
1520530308349502521,0.002146,-0.000028,-0.000484,0.0440,450,1
1520530308399504521,0.000356,0.001207,-0.000520,0.0272,470,1
1520530308449504521,0.000223,0.002279,-0.000930,0.0494,538,1
1520530308499506521,0.002168,-0.000644,-0.002886,0.0733,534,1
1520530308549507521,-0.004854,-0.007827,-0.002410,0.1904,489,1
1520530308599509521,-0.005075,0.000180,-0.003218,0.1202,519,1
1520530308649555521,-0.001553,0.005139,-0.002304,0.1167,512,1
1520530308699512521,0.001063,0.002784,0.000171,0.0598,521,1
1520530308749558942,0.004469,0.012431,-0.001405,0.2654,528,1
1520530308799559942,0.000956,0.002017,-0.000385,0.0453,549,1
1520530308849561942,0.002881,0.004477,0.001213,0.1092,555,1
1520530308899562942,0.001092,0.009906,0.000748,0.1999,521,1
1520530308949564942,0.000949,0.001262,-0.000001,0.0316,531,1
1520530308999566942,0.001007,0.002995,-0.000267,0.0634,535,1
1520530309049567942,-0.000356,0.001427,0.000034,0.0294,514,1
1520530309099569942,-0.000314,-0.000107,0.000358,0.0098,525,1
1520530309149567293,0.001337,0.004466,0.000276,0.0934,543,1
1520530309199582486,0.001285,0.001052,0.000622,0.0355,523,1
1520530309249583486,-0.000672,-0.000184,0.000885,0.0225,520,1
1520530309299585486,0.000694,-0.002145,0.000738,0.0474,540,1
1520530309349586486,0.000998,0.001851,0.000448,0.0430,529,1
1520530309399588486,-0.001115,-0.003698,0.001727,0.0846,510,1
1520530309449590486,0.000130,0.001109,0.001206,0.0329,520,1
1520530309499591486,-0.000601,0.000496,0.000907,0.0239,536,1
1520530309549593486,0.000081,0.002665,0.001242,0.0588,550,1
1520530309599596890,0.000173,-0.000249,0.000812,0.0173,541,1
1520530309649598890,0.000465,-0.001316,0.000502,0.0297,508,1
1520530309699599890,0.001683,0.000364,0.000554,0.0362,503,1
1520530309749601890,0.000247,-0.000393,0.001128,0.0244,569,1
1520530309799602890,-0.000637,0.002937,0.001755,0.0696,555,1
1520530309849604890,-0.000227,0.001982,0.000929,0.0440,559,1
1520530309899605890,0.000111,0.001438,0.000973,0.0348,567,1
1520530309949607890,0.000603,-0.000192,0.000538,0.0166,515,1
1520530309999622012,0.001078,0.000760,-0.000225,0.0268,518,1
1520530310049623012,-0.000598,-0.000319,0.000023,0.0136,548,1
1520530310099625012,-0.001240,0.001539,0.000111,0.0396,533,1
1520530310149627012,0.000364,0.000901,-0.000185,0.0198,531,1
1520530310199628012,0.000795,-0.000344,0.000257,0.0181,527,1
1520530310249729012,0.002120,-0.001541,0.000072,0.0523,567,1
1520530310299631012,-0.002017,-0.001420,0.001104,0.0542,500,1
1520530310349633012,0.001651,-0.004541,0.000397,0.0970,549,1
1520530310399624679,-0.001231,0.001229,0.001204,0.0423,546,1
1520530310449626679,0.000003,-0.001260,-0.000200,0.0255,553,1
1520530310499627679,-0.000279,-0.000480,-0.000392,0.0136,537,1
1520530310549629679,-0.000277,0.000731,-0.000195,0.0161,521,1
1520530310599631679,0.000133,-0.000396,-0.000349,0.0109,507,1
1520530310649632679,-0.000014,-0.000200,0.000140,0.0049,530,1
1520530310699634679,-0.001270,0.002255,0.000270,0.0520,528,1
1520530310749635679,-0.000718,0.000665,0.000331,0.0207,541,1
1520530310799650942,0.000483,-0.001554,-0.000634,0.0349,527,1
1520530310849651942,0.000145,-0.000835,-0.000095,0.0171,524,1
1520530310899653942,-0.000224,-0.000541,-0.000307,0.0132,521,1
1520530310949654942,-0.000896,-0.001872,-0.000671,0.0436,528,1
1520530310999656942,-0.001312,0.000256,-0.000649,0.0297,525,1
1520530311049658942,-0.000551,-0.000689,-0.000119,0.0178,516,1
1520530311099659942,-0.000319,-0.000169,-0.000155,0.0079,540,1
1520530311149661942,0.001682,0.002639,0.000291,0.0629,525,1
1520530311199671872,-0.000473,0.005690,0.001300,0.1171,540,1
1520530311249672872,0.000791,-0.001296,0.000384,0.0313,537,1
1520530311299674872,0.000362,0.001344,0.000230,0.0282,543,1
1520530311349676872,0.000091,-0.001375,-0.000363,0.0285,531,1
1520530311399677872,-0.001149,-0.003578,-0.000600,0.0761,530,1
1520530311449678872,0.000820,-0.004769,-0.001747,0.1029,556,1
1520530311499683872,-0.002312,0.000320,-0.000474,0.0476,567,1
1520530311549682872,0.000973,-0.001383,-0.000526,0.0354,549,1
1520530311599683872,-0.000538,0.000280,0.000265,0.0132,534,1
1520530311649719135,0.000366,-0.005638,-0.000450,0.1133,535,1
1520530311699720135,-0.000701,0.001538,0.000742,0.0369,567,1
1520530311749722135,-0.000142,-0.000370,0.000165,0.0086,583,1
1520530311799723135,-0.000026,0.000264,0.000367,0.0091,550,1
1520530311849725135,-0.000836,0.000795,-0.000213,0.0235,551,1
1520530311899726135,-0.000662,0.002618,0.000116,0.0541,552,1
1520530311949728135,0.001105,0.000644,-0.000059,0.0256,557,1
1520530311999729135,0.000845,0.000239,-0.000284,0.0185,531,1
1520530312049720469,-0.000957,0.000379,0.000172,0.0209,552,1
1520530312099721469,0.000112,0.000179,0.000014,0.0042,572,1
1520530312149723469,0.000984,0.002412,0.000102,0.0521,539,1
1520530312199725469,0.000339,0.000934,-0.000339,0.0210,510,1
1520530312249726469,0.000682,-0.000776,0.000017,0.0207,557,1
1520530312299728469,0.000707,0.001851,-0.000096,0.0397,545,1
1520530312349729469,0.000282,0.000097,-0.000172,0.0069,553,1
1520530312399731469,-0.000324,-0.000563,-0.000118,0.0132,588,1
1520530312449712118,-0.001754,0.000028,0.000540,0.0367,569,1
1520530312499714118,-0.000467,-0.000433,0.000229,0.0135,517,1
1520530312549715118,-0.000401,-0.000069,0.000196,0.0090,528,1
1520530312599717118,0.000289,0.000052,-0.000011,0.0059,552,1
1520530312649719118,0.000103,0.001043,0.000245,0.0215,549,1
1520530312699720118,0.000100,0.000972,0.000490,0.0219,580,1
1520530312749722118,0.001262,0.001202,0.000347,0.0355,555,1
1520530312799724118,0.000771,0.000014,0.000242,0.0162,552,1
1520530312849719433,0.001363,0.000328,0.000283,0.0286,540,1
1520530312899721433,-0.001665,-0.002840,0.000854,0.0680,543,1
1520530312949723433,0.000868,0.006053,0.001000,0.1239,566,1
1520530312999724433,0.002431,0.002827,0.000807,0.0763,548,1
1520530313049725433,-0.000245,0.003160,0.001062,0.0669,569,1
1520530313099727433,-0.000996,-0.000208,0.000484,0.0225,552,1
1520530313149728433,-0.000422,0.000305,0.000372,0.0128,541,1
1520530313199730433,0.000390,0.000532,0.000573,0.0175,555,1
1520530313249735714,0.001624,0.000202,0.000663,0.0353,575,1
1520530313299737714,0.000499,-0.000674,0.001383,0.0323,526,1
1520530313349738714,0.000758,0.001994,0.000802,0.0456,534,1
1520530313399789714,0.001757,0.000060,0.000300,0.0356,576,1
1520530313449742714,-0.000079,-0.000422,0.000669,0.0159,562,1
1520530313499743714,0.000433,0.000536,0.000714,0.0198,560,1
1520530313549745714,0.000053,0.001707,0.001127,0.0409,538,1
1520530313599746714,0.000803,0.000207,0.000897,0.0244,541,1
1520530313649744995,0.000461,0.002862,0.001336,0.0638,559,1
1520530313699745995,-0.000233,0.001365,0.000705,0.0311,567,1
1520530313749747995,0.000573,0.003774,0.001272,0.0805,568,1
1520530313799749995,0.000996,0.002849,0.001440,0.0669,567,1
1520530313849750995,-0.001038,0.001062,0.001262,0.0390,554,1
1520530313899752995,0.000096,0.001764,0.001485,0.0462,548,1
1520530313949753995,0.000444,-0.000016,0.000817,0.0186,573,1
1520530313999755995,-0.001838,0.000333,0.000942,0.0418,587,1
1520530314049756995,0.001783,0.004154,0.001258,0.0938,572,1
1520530314099762714,0.004391,0.002550,0.000255,0.1017,594,1
1520530314149764714,-0.001114,0.000820,0.003299,0.0715,563,1
1520530314199765714,-0.000951,0.003463,0.004556,0.1160,577,1
1520530314249767714,-0.011817,0.000839,0.008183,0.2879,535,1
1520530314299768714,-0.013023,0.003890,0.010570,0.3444,493,1
1520530314349770714,-0.016804,0.006055,0.006404,0.3795,515,1
1520530314399772714,0.002020,-0.019704,0.003840,0.4035,505,1
1520530314449773714,-0.021746,0.001424,0.008473,0.4676,503,1
1520530314499774311,-0.036997,0.009594,0.008881,0.7848,518,1
1520530314549776311,0.008145,0.007736,0.000946,0.2255,492,1
1520530314599777311,-0.008403,0.018913,0.010955,0.4683,504,1
1520530314649779311,0.003111,-0.000524,-0.007803,0.1683,482,1
1520530314699780311,0.002733,-0.006619,-0.007441,0.2065,436,1
1520530314749782311,0.007353,-0.004926,-0.009284,0.2565,472,1
1520530314799787311,0.013194,-0.003928,-0.007277,0.3114,398,1
1520530314849784311,0.033358,-0.014876,-0.017706,0.8119,420,1
